sku,forecast,actual,volume,inventory_on_hand,safety_stock,lead_time_days,supplier_otif,demand_volatility_cv,margin
SKU-00264,1740,1527,1654,3994,541,16,0.879,0.395,11.73
SKU-00265,1224,1128,1522,946,505,39,0.832,0.417,7.32
SKU-00266,673,621,753,360,342,47,0.72,0.132,9.61
SKU-00267,591,592,577,890,801,35,0.885,0.413,5.9
SKU-00268,167,142,134,1724,1066,27,0.696,0.425,12.85
SKU-00269,428,401,432,4633,1193,26,0.823,0.065,14.77
SKU-00270,790,887,910,1531,813,6,0.927,0.153,8.89
SKU-00271,494,459,587,2839,647,7,0.786,0.408,8.36
SKU-00272,1542,1342,1354,2427,116,12,0.698,0.314,12.14
SKU-00273,1620,1625,1751,2707,1002,56,0.846,0.148,4.99
SKU-00274,1330,1464,1336,4517,396,10,0.97,0.095,0.78
SKU-00275,1998,2358,1805,4810,202,5,0.766,0.23,5.27
SKU-00276,364,342,364,2053,444,32,0.755,0.229,5.69
SKU-00277,338,248,297,659,599,46,0.695,0.033,7.21
SKU-00278,880,792,970,4349,981,44,0.794,0.076,10.23
SKU-00279,1789,1721,1848,1530,1127,52,0.657,0.383,3.21
SKU-00280,889,815,904,2881,329,23,0.946,0.388,7.51
SKU-00281,204,240,216,4168,365,32,0.696,0.359,8.18
SKU-00282,716,720,823,2486,546,33,0.918,0.068,7.07
SKU-00283,397,385,462,2731,411,5,0.916,0.275,1.03
SKU-00284,1003,776,972,2612,1047,59,0.83,0.412,5.04
SKU-00285,505,593,622,4018,220,59,0.771,0.182,7.8
SKU-00286,670,711,578,4425,1038,56,0.65,0.409,8.05
SKU-00287,311,375,339,1456,424,46,0.756,0.248,13.3
SKU-00288,1438,1039,1457,2397,507,52,0.778,0.022,5.66
SKU-00289,856,949,1043,3269,1078,21,0.74,0.431,0.9
SKU-00290,1341,960,1291,1464,909,55,0.704,0.339,11.51
SKU-00291,1820,2012,1764,3202,1188,17,0.674,0.15,2.16
SKU-00292,1722,1679,1446,1501,596,25,0.806,0.115,9.3
SKU-00293,382,299,382,1909,431,18,0.712,0.418,12.36
SKU-00294,865,1095,1167,2226,226,7,0.836,0.066,12.46
SKU-00295,500,445,397,1604,324,36,0.842,0.093,6.34
SKU-00296,197,109,232,3210,907,11,0.834,0.161,11.54
SKU-00297,191,130,186,2289,708,46,0.818,0.404,11.45
SKU-00298,1697,2099,1866,3864,241,33,0.764,0.312,0.8
SKU-00299,115,100,113,1401,968,59,0.775,0.097,8.75
SKU-00300,298,357,417,4331,959,22,0.864,0.427,14.47
SKU-00301,1755,2003,1574,1681,197,14,0.979,0.06,9.34
SKU-00302,267,282,253,3165,561,3,0.809,0.315,10.8
SKU-00303,802,624,893,3374,273,20,0.902,0.441,1.64
SKU-00304,518,550,437,2657,551,44,0.693,0.315,4.97
SKU-00305,548,496,496,4919,1116,15,0.926,0.074,7.64
SKU-00306,438,433,424,2155,1028,42,0.957,0.317,12.74
SKU-00307,1492,1247,1649,2412,685,44,0.898,0.042,12.45
SKU-00308,448,528,460,4463,918,47,0.854,0.161,7.53
SKU-00309,582,593,646,2493,1113,31,0.775,0.431,3.54
SKU-00310,330,330,417,4834,933,31,0.828,0.343,13.16
SKU-00311,382,314,441,940,214,3,0.852,0.096,15.0
SKU-00312,1092,1271,1228,713,1121,31,0.93,0.428,14.72
SKU-00313,1388,1364,1194,4869,847,39,0.813,0.298,1.67
SKU-00314,1778,1618,1633,3969,589,29,0.921,0.042,7.65
SKU-00315,2018,2123,1539,2795,1099,49,0.826,0.194,8.77
SKU-00316,976,984,827,4926,757,16,0.693,0.219,11.48
SKU-00317,301,298,237,541,185,5,0.785,0.026,9.54
SKU-00318,440,329,528,2759,418,8,0.876,0.314,10.25
SKU-00319,710,746,765,2899,252,47,0.924,0.095,9.26
SKU-00320,1060,966,1341,2584,409,59,0.722,0.228,8.13
SKU-00321,1984,2036,1906,614,182,39,0.703,0.302,7.09
SKU-00322,1810,1635,1537,3809,191,23,0.736,0.049,1.21
SKU-00323,809,730,644,2403,1151,4,0.707,0.385,2.93
SKU-00324,1315,1543,1022,4697,1033,31,0.934,0.241,2.56
SKU-00325,1031,1030,1189,4210,1022,50,0.939,0.223,10.11
SKU-00326,449,565,503,1310,1035,50,0.781,0.204,5.41
SKU-00327,2064,2321,1792,4782,259,41,0.943,0.167,3.12
SKU-00328,2423,1623,1921,3879,984,22,0.653,0.418,2.64
SKU-00329,1065,1005,1025,807,591,12,0.887,0.301,5.7
SKU-00330,1462,1587,1836,946,840,42,0.743,0.128,2.8
SKU-00331,1824,1266,1858,4696,919,29,0.866,0.439,6.75
SKU-00332,235,230,234,2791,912,59,0.947,0.428,10.73
SKU-00333,340,401,400,2130,980,57,0.953,0.064,12.32
SKU-00334,339,395,314,965,535,10,0.833,0.226,10.99
SKU-00335,1489,1723,1500,3310,304,54,0.762,0.361,7.84
SKU-00336,1064,1037,943,2702,681,27,0.78,0.271,4.61
SKU-00337,766,1086,600,2344,150,25,0.718,0.247,0.77
SKU-00338,1430,1551,1228,1091,831,20,0.925,0.324,5.7
SKU-00339,1865,2193,1980,4423,212,50,0.657,0.321,4.1
SKU-00340,1807,1882,1623,3065,715,5,0.721,0.307,3.2
SKU-00341,532,517,429,1377,313,12,0.669,0.091,14.06
SKU-00342,2420,2992,1995,2778,509,29,0.891,0.11,14.56
SKU-00343,1000,1128,1043,1249,1043,17,0.934,0.061,2.13
SKU-00344,2129,2558,1814,2076,150,53,0.908,0.228,3.05
SKU-00345,729,794,889,3409,1008,37,0.879,0.065,13.86
SKU-00346,1556,1781,1776,1162,1199,52,0.921,0.053,14.89
SKU-00347,398,440,378,505,561,56,0.849,0.221,5.85
SKU-00348,1764,1753,1581,1474,570,14,0.707,0.115,12.09
SKU-00349,1714,1914,1230,2371,172,43,0.899,0.256,5.81
SKU-00350,958,968,873,3895,811,30,0.664,0.358,14.64
SKU-00351,1056,1059,1082,1757,1024,53,0.969,0.399,14.57
SKU-00352,1661,1625,1654,456,461,53,0.665,0.049,12.84
SKU-00353,1427,1687,1710,2469,510,34,0.782,0.41,8.28
SKU-00354,175,227,198,2001,726,22,0.873,0.31,5.54
SKU-00355,433,427,429,2573,343,19,0.934,0.404,4.24
SKU-00356,1067,612,1043,252,470,29,0.865,0.227,12.96
SKU-00357,641,647,671,4869,214,18,0.829,0.123,14.34
SKU-00358,1209,1638,1422,4967,1054,8,0.677,0.313,7.65
SKU-00359,881,794,879,1546,821,19,0.902,0.021,7.84
SKU-00360,645,453,579,4591,950,5,0.899,0.17,10.43
SKU-00361,851,568,836,2256,578,3,0.738,0.052,2.83
SKU-00362,881,1060,859,1129,621,14,0.85,0.372,2.8
SKU-00363,1000,913,881,2329,313,46,0.753,0.388,7.74
SKU-00364,858,1070,884,2707,679,12,0.899,0.157,1.36
SKU-00365,1777,2250,1630,2421,79,41,0.88,0.235,13.24
SKU-00366,1665,1630,1495,979,587,39,0.854,0.187,8.49
SKU-00367,1188,849,1455,4131,1059,5,0.959,0.121,5.54
SKU-00368,2133,1675,1972,3331,608,26,0.845,0.031,12.44
SKU-00369,688,687,579,4321,719,21,0.922,0.312,3.52
SKU-00370,1515,1395,1429,12,63,11,0.678,0.395,6.81
SKU-00371,446,452,527,3021,1108,20,0.731,0.053,10.43
SKU-00372,988,699,1137,3299,698,59,0.73,0.1,8.44
SKU-00373,1011,891,1180,552,188,54,0.823,0.381,6.13
SKU-00374,941,856,801,2086,403,55,0.884,0.403,12.3
SKU-00375,1177,1113,1206,3134,246,10,0.687,0.128,6.84
SKU-00376,345,278,352,4741,200,55,0.779,0.181,11.12
SKU-00377,1606,1559,1516,4665,750,52,0.866,0.057,5.65
SKU-00378,1176,1046,1201,3946,1014,20,0.81,0.021,9.05
SKU-00379,1008,518,1145,3404,545,50,0.96,0.346,6.79
SKU-00380,883,1164,742,4270,848,34,0.767,0.023,12.57
SKU-00381,352,433,379,694,773,50,0.913,0.386,13.46
SKU-00382,1133,1196,1175,3417,339,10,0.866,0.307,3.41
SKU-00383,1238,1129,1216,1960,1042,35,0.885,0.198,8.35
SKU-00384,669,686,615,4503,810,33,0.848,0.314,4.78
SKU-00385,500,476,925,3938,340,41,0.666,0.379,8.91
SKU-00386,99,113,116,749,329,17,0.894,0.285,10.56
SKU-00387,531,475,448,223,202,9,0.816,0.181,9.42
SKU-00388,1436,1050,1338,3913,398,35,0.901,0.114,6.7
SKU-00389,1451,1724,1334,1348,572,27,0.878,0.161,8.08
SKU-00390,391,566,454,3947,528,18,0.796,0.121,2.82
SKU-00391,188,116,204,4884,56,42,0.858,0.281,14.71
SKU-00392,1507,1530,1408,3809,1042,53,0.863,0.283,10.62
SKU-00393,1314,1106,1421,4447,1057,9,0.79,0.079,7.86
SKU-00394,1629,2004,1846,2837,239,18,0.751,0.377,9.12
SKU-00395,1385,1317,1282,2881,664,30,0.884,0.377,7.94
SKU-00396,471,305,463,2227,281,58,0.964,0.159,2.94
SKU-00397,1157,819,1055,2699,976,10,0.756,0.053,2.87
SKU-00398,984,1098,1356,3300,1064,50,0.981,0.327,12.97
SKU-00399,1940,2010,1823,2678,311,56,0.937,0.377,2.64
SKU-00400,815,776,608,4620,348,7,0.82,0.053,10.83
SKU-00401,209,257,204,4038,973,3,0.907,0.036,14.1
SKU-00402,1727,1808,1916,2746,88,9,0.786,0.252,13.81
SKU-00403,1180,1015,1733,931,642,15,0.99,0.331,3.94
SKU-00404,638,751,785,1141,477,39,0.857,0.322,9.95
SKU-00405,1405,1494,1728,4987,921,13,0.892,0.038,12.35
SKU-00406,1076,1497,1262,4126,365,43,0.971,0.375,4.16
SKU-00407,175,181,215,2983,679,56,0.861,0.119,4.5
SKU-00408,1735,2191,1800,1055,800,11,0.732,0.093,11.36
SKU-00409,901,930,797,1902,287,38,0.826,0.047,7.16
SKU-00410,1580,1337,1177,2408,1095,49,0.79,0.08,13.31
SKU-00411,1743,1564,1695,1916,681,38,0.935,0.353,10.52
SKU-00412,389,358,523,2834,878,39,0.708,0.162,6.54
SKU-00413,224,232,214,409,173,47,0.769,0.182,6.22
SKU-00414,1605,1822,1573,4763,871,56,0.944,0.405,5.44
SKU-00415,1527,1414,1836,1000,469,9,0.895,0.048,6.18
